Name,review_text,review_summary,helpful_score,review_rating,word_net_score_review,word_net_score_summary,review_length,sentiment
"Misery, Spanish Edition: Books: Stephen King","Paul Sheldon,a very good writer famous for his books in the ""Misery"" series.A popular character in his book is someone named Misery.In his final book he kills the character off,therby ending the series.Paul's number one fan is Annie Wilkes,a retired nurse.(I would like to say,retarded).

			One day Paul gets into an accident and gets both of his legs severely damaged.Coincidently,Guess who finds him?
			Annie.Yes,she finds him and starts to nurse him back to good health.But when she soon finds out that Paul has killed the character ""Misery"",Annie is pissed...She makes it her business to get Paul to write another novel in which ""Misery"" is not killed.It sounds simple,I know.But when Paul refuses to write the novel,Annie uses force,and she tortures him so much that he just gives in and begins to write a new novel.
			Meanwhile thinking of a way to escape,Paul writes the novel and suffers at the same time.He lost one of his foot,because she burnt it off!Yes,this Annie Wilkes is a lunatic.While Paul is under Annie's capture,he learns alot about things he took for granted.The ending of this book is a happy one,you won't be disappointed.I recommend this book as any other SK novel.It is a great Suspense,drama novel...enjoy...Nigel

			Here is another version of the plot.(taken from wikipedia)...

			""The story begins with Paul Sheldon slowly waking out of a coma. Gradually, his memory returns to him: he is a wildly popular romance novelist of the Misery series of novels (the main character of which is named Misery Chastain) who has crashed his car in a winter storm outside of Silver Creek in Grand County, Colorado, and has been badly injured. His rescuer, Annie Wilkes, is a former registered nurse and has taken him to her secluded country home to personally care for him.

			As luck would have it, Annie is Paul's ""number one fan"" and eagerly awaited all his publications. Almost immediately however, Paul realizes that there is a flip side to this coin: Annie is mentally ill, she has not told anyone where he is, and she has a violent past that includes a successful career as a serial killer.

			Annie begins to physically and psychologically abuse Paul when she finishes reading his latest published work, in which the heroine Misery dies. Annie later forces him to burn an unpublished manuscript of his new novel, ""Fast Cars"" he was carrying at the time of his accident, disgusted at its radical departure from the Misery series. Eventually, Annie forces Paul to write a new Misery novel ""just for her"" and bring the character back from the dead. Paul works on the book as Annie's violent mood swings and her psychosis deepens. Her insanity escalates as Paul tries to escape; she eventually chops off one of Paul's feet, one of his thumbs, and murders a police officer investigating his disappearance. As the authorities begin to close in on Annie, Paul's plight--both in his writing and his attempt to save his life--becomes more desperate.

			Paul eventually defeats Annie by smashing her over the head with the second hand typewriter she had given him to write ""her"" novel. After he escapes, he publishes the new Misery novel to great critical acclaim.""...enjoy...Nigel",A good writer suffers!,80,5,61.25,30.25,523,POSITIVE
Shalimar the Clown: A Novel: Books: Salman Rushdie,"As I read, I kept trying to figure out whether this tale is a collection of reflections on how two religions can destroy a region and its people, whether the characters have broader agendas than their stories or whether it's just a good tale peppered with strong political images.  

			And, a good story it is.  How can you beat this writing?

			""The pandits of Kashmir were left to rot in their slum camps, to rot while the army and the insurgency fought over the bloodied and broken valley, to dream of return, to die while dreaming of return, to die after the dream of reture died so that they could not even die dreaming of it, why was that why as that why was that why was that why was that"" (p. 297)

			""The beauty approached him, beckoning.  Her arm slipped around his shoulder, supple as a snake, and like a snake her leg coiled around his.  Then like a third snake her other arm and like a fourth snake her other leg until she was slithering all over him....  She had as many arms and legs as a goddess, and multilimbed and irrestible she coiled and tightened around him and, finally, with all the power she possessed, she bit.  The accidental death by king cobra snakebit of [the] General was announced ... the next morning and he was buried with full honors.... (p. 316)
			"" p. 31",How Many Terrorists Can Walk a TightRope?,0,5,54.75,0.25,241,POSITIVE
The Andromeda Strain: Books: Michael Crichton,"The Andromeda Strain tells the story of a bacteria growth in Piedmont, Arizona. This bacteria kills people in a matter of seconds and killed everyone in the town except for a 69 year old man and a baby. A top secret commission is formed to see how these bacteria kill people and to see how they can be stopped. 

			This book has the makings of a real thriller. I couldn't put the book down through the first 250 pages. However, this book had a dissipointing ending.

			This book involves a lot of ""cool"" technology. This book could have taken place today (instead of 1969) because I could visualize a lot of the book. I found myself thinking ""Awesome technology"" more then I was thinking that Crichton is sure a great author. He seemed to involve a little too much foreshadowing. 

			This book does involve a lot of research and ""up-to-date theories"" for 1969, but is a little dated today. This does not take anything out of the story.

			I would recommend this book because it is really interesting. Lots of research went into this book. The book is fast paced and has many modern aspects of a Crichton novel","Interesting, good info, odd storyline",0,4,0.526,30.25,197,POSITIVE
"Garlic and Sapphires: The Secret Life of a Critic in Disguise: Books: Ruth Reichl,Bernadette Dunne","Still a great read, but not as good as Tender at the Bone and Comfort Me with Apples.  Foodies will love the continued insight into restaurant review protocol, but the author really shines when she remembers early food experiences with her mom, dad and other relatives and friends.  The highs are not as high, nor the lows as low in Garlic and Sapphires.  Reichl has a long way to go to lose me as a reader; that said, I hope she has a few more early memories to incorporate in her next book",Ruth can do better,0,4,23.75,10.75,96,POSITIVE
"Dark Watch (Oregon Files): Books: Clive Cussler,Jack Du Brul","very good writing done by both authors. i've always loved C.C.  now with Du Brul, the story gets even more suspenseful.  a really awsome page turner.  get this one",excellent!!!,66,5,36.25,2,32,POSITIVE
The Epiplectic Bicycle: Books: Edward Gorey,"this is most definitely my favorite book on earth! i'm so serious, this is such a cool book. it really appeals to anyone. kids could read it because there are short sentances and pictures (some tough words though...start with epiplectic??) but teens and adults (i'm sure) can also appreciate the morbid and brilliant humor of edward gorey. for anyone that thinks that $10 is too much to spend on a little book, ((you may be right in some circumstances)) but this is such a fantastic book i know i am gushing but i love it soooooooo much!!!",i love this book!,20,5,17.276,7.25,97,POSITIVE
The Collectors: Books: David Baldacci,"Even though you know before you start reading that this book will have a happy ending, it is a fun read.  A well written and pleasant book.  One of the best of this falls crop.  I am already waiting for the next book in the series",Quite enjoyable.,66,4,31.168,0.5,49,POSITIVE
Picking Winners: A Horseplayer's Guide: Books: Andrew Beyer,I found this book to contain some really sound advice and I would suggest it for anyone that was contemplating risking their money on the ponies,Sound Advice,40,5,15.25,8.25,26,POSITIVE
"The Samurai (New Directions Classics): Books: Shusaku Endo,Van C. Gessel","This was the first novel I read from Endo, and I have to confess to being hooked on it from the first. It is both interesting from a historical perspective, taking in an event that was singularly fascinating, and deeply profound from a psychological perspective. It is also a partial critique of ambition and desire in the clergy of the day.

			Hasekura is a deep character, and the reader spends a bit of time with Hasekura's thoughts. This is especially so as Hasekura confronts the emaciated, dying Christ that he sees on his travels toward Rome. The possibility of faith in this ""pathetic man"", and the conflict that produces with his duty to Lord and ancestors, forms a a deeply emotional narrative coupled with Hasekura's desires, dreams and simple wishes. The psychological aspect of the book is very well presented and notable in its impact.

			A notable part of the book is tied up with Father Velasco, whose ambition seems to know no limits. His own struggles with ambition, and the self-justifications that he employs, are a lesson worthy of remembering. 

			This novel is a great one, and I was hooked to the very last page. It will take you into the world of Hasekura, Velasco and their companions, as they themselves see it. It will take you into their dreams, their hopes, their fatalism, their fears and their struggles to cope with their situation. I totally, unreservedly recommend this novel. I love this novel",The Struggle of Faith and Duty,100,5,74,-1.5,243,POSITIVE
"What Looks Like Crazy on an Ordinary Day: Books: Pearl Cleage,Tracey Leigh","I was given this book by a friend as a going away gift.  The day I decided to read it, I was ill and lay on the couch reading it in one sitting.  I was a bit drowsy, but I could not but it down...It made me nervous, excited, sad, and happy...all the emotions that a good book or movie can offer.  Get this if you are a serious reader looking for a fictional escape",Made my ordinary day much better,100,5,9.5,16.25,78,POSITIVE
Dry: A Memoir: Books: Augusten Burroughs,"Dry is anything but what the title of this work implies.The pages drip with boozy escapades and one can almost smell and taste the liquor on Augusten Burroughs breath.A must for drinkers who would like to stop or at least reassess what the heck is going on in their lives.Almost motivational in its honest appraisal of the difficulties inherent in this addiction. The writing style is clear and refreshingly down to earth,funny, yet foreboding and diary-like in its presentation.Burroughs clearly transmits via humor and self awareness the many dimensions of this destructive addiction and the problems that can come with it, especially the limited usefulness of rehab.The story itself is pretty hip with a good look inside the mind of what we could easily call, ""a hard core drinker"" as he anticipates the ""next one"".Passages describe a variety of interpersonal dilemmas,job and sexual conundrums.Dry is also a good insightful look at how the treatees view the treaters and how quickly they can size up weaknesses and exploit them.This is a page turner but it does drag a bit in the middle, yet has a strong finish.An earlier work 'Running With Scissors' was apparently good enough for Hollywood, so take a shot with DRY.After all, when your liquor bottles occupy more living space in your place than you do, it might be time to slow down,stop and get a copy of Twelve Steps and Twelve Traditions, and a copy of Dry.  CHEERS!!","Go ahead, Have another one.What's one more gonna do?",0,4,101.75,1.25,242,POSITIVE
"What Your Doctor May Not Tell You About(TM): Premenopause, Balance Your Hormones and Your Life from Thirty to Fifty: Books: John Lee,Jesse Hanley,Virginia Hopkins","OMG!!! I could not put this book down... I am in my upper twenties and I am going thru a bunch of these symptoms already. Yes the book is bios about natural progesterone, so what... I have not personally used progesterone cream yet, because I am waiting for my saliva test results to make sure that's what I need. But even if I don't, everything else provided in the book is amazing information. Your diet, your vitamins, your stress level, your physical activity, everything is co-related to most woman's hormonal imbalances. They even talked about a case where a woman did not want to use the natural progesterone and how by changing all of the other stuff in her life, she achieved hormone balancing. If you are suffering from hormonal imbalances, I will strongly recommend this book. I also bought other ones that I will be reading after this one. But I started with ""Be Lean by Romy Seleznov"", which is a story from her life and how she struggled to balance her hormones and gives all the details of what she did, then I continued with this book, and the next one I will be reading is ""Natural Hormone Balance for Women"" by Uzzi Reiss, which does cite this book as well. 

			If you think you have a hormonal imbalance, please do not rely on your doctor 100%, I am not saying that you should not believe them or rule out everything they say, but do your homework. I have been telling my doctors since I am in my TEENS that I feel I have an imbalance with my hormones and since all of the results come back fine they have been telling me that my symptoms were ""normal""... WRONG!!! Now they found a tumor in my pituitary gland, which causes an imbalance... The tumor grows slowly, so I am sure that it has been there for years, but they never checked it before. Now that I am treating it, all of my ""normal"" symptoms are almost gone. I am still on the process of getting everything in balance. If you feel you have something wrong, even if the results of your blood work comes as normal, READ more and look for healthy ways of changing your diet, exercising more, balance your hormones, and look for second opinions and definitely have a good naturopath that you can go to. Also ""Bikram Yoga"", is an excellent exercise to helping you with hormonal balancing. At least that's part of what I changed.","If you have hormonal imbalances, this is a great resource...",100,5,9.97,2,421,POSITIVE
A Guide to Elegance: For Every Woman Who Wants to Be Well and Properly Dressed on All Occasions: Books: Genevieve Antoine Dariaux,"Whilst the book may seem a little dated when it talks of tweed in the country and a matching silk jacket for your cocktail dress, it does contain a lot of useful information about putting together a great career wardrobe on a budget, which colours match, which accessories never date, and how to dress for evening functions of any nature.
			I highly recommend it for anyone who thinks Jackie Kennedy was the epitome of chic, and who would like to know how to pull it off themselves",Retro yet relevant,100,5,14,-1,86,POSITIVE
"The Wolves in the Walls (New York Times Best Illustrated Books (Awards)): Books: Neil Gaiman,Dave McKean","The quirky illustrations done by the masterful Dave McKean at once contribute to the book's charm, but also lend to its dread. However, this is not a book for especially wee ones or children prone to nightmares. Some people may not appreciate Dave McKean's artwork as much as they should, because it is so different, at least to those not familiar with the Sandman graphic novel series written by Neil Gaiman in which Dave McKean did the cover art for all the books. At first glance the layout might seem confusing, even distracting, yet it somehow works here. Neil Gaiman has crafted an eerie tale that befits his style of writing. He introduces us to a charming young girl named Lucy, who suspects something is not right with her home. And though her pig-puppet seems to share her concern and understands her fear, the rest of her family do not...until it's too late. The action waxes and wanes until all seems resolved in the end, though perhaps it is not. You be the judge. This is a worthy book to read to third-graders and above, though some younger children may be able to stomach the tale without any concern. Neil Gaiman deserves praise for bringing his brand of storytelling to a younger audience, one so unfamiliar with his other work. I highly recommend this book","""I don't think it sounds like mice.""",100,5,29,8.75,225,POSITIVE
"Every Landlord's Legal Guide, Eighth Edition: Books: Marcia Stewart,Janet Portman,Ralph E. Warner","If you are planning to become a landlord, buy this essential book before you purchase a rental property or hang that ""For Rent"" sign in front of your house.  A healthy dose of legal reality will counterbalance any easy money ideas you may have and help you decide whether the work and risk involved in being a landlord is how you would like to make money.  The legal concepts you learn may even influence which properties you buy and how you maintain them.

			If you are already a landlord, keep this book at your finger tips.  The information is well organized and easy to find for quick reference.  Legal concepts are presented in plain language and illustrated with scenarios showing how the concepts might play out in real life.

			The authors make dry legal topics as interesting as possible.  Add the urgency of knowing a legal misstep could land you on the wrong side of a lawsuit, and you will find yourself eagerly turning these pages",Make this your first investment,100,5,36.418,7.25,169,POSITIVE
The Lost Bird: Books: Margaret Coel,"This is the story of another tragic episode involving a Native American tribe.  That this probably happened under other circumstances, and happened to more than the Arapaho tribe, cannot be doubted.  This is another in a  series that has given us insight into tribal life and continues to  leave  us wanting more.  The characters are strong, believable, and you want the  best for all of them. The underlying plot--selling tribal babies and  telling their parents they died--is heartbreaking.  The reunion of one such  child with her father made me weep.  And Vicki's trial reconciliation with  Ben gave me hope.  This is a great work, written with deep feeling","A tragic story, magnificently written",90,5,11.5,-0.75,121,POSITIVE
Lud-In-The-Mist: Books: Hope Mirrlees,"This book was extremely well written. It's a gorgeous story and not cliched at all. What totally gets me is that after searching the web for a time, I have not been able to find anyone that has written on the connection between her book and the eugenics movement taking place in the 20's. She most bluntly did not agree with eugenics at the end. For example, on page 233, ""And if all the gifts of Life are good, perhaps, too, are all the shapes she chooses to take, and which we cannot alter."" The book is filled with hints at the time period even though, after looking at countless reviews, the reviewers keep commenting on how her other books took from the time period and historical events and that Lud-in-the-Mist did not and it was a ""fantastical"" piece of literature. In my opinion, this book was TOTALLY based on the time period. There's even a line by the blacksmith about how since he's not ""white"" anymore he has come down in the world. If you're looking for a cultural artifact of the 20's, this is an astounding piece",Lud-in-the-Mist eugenic?,100,5,60.918,-0.5,189,POSITIVE
Picture Perfect: Books: Jodi Picoult,My husband bought this book for me and I have to say it is not a book I would normally pick up. I also have to say...I loved it! It was a very entertaining story with several plot twists along the way. I enjoyed the writing style and would highly recommend this book for taking on a relaxing trip this summer,Good Summer Read,50,4,6.75,31.25,61,POSITIVE
